Symbol,Name,Price,Change,Percent Change
TSLA,"Tesla, Inc.",250.21,9.16,+3.80%
LCID,"Lucid Group, Inc.",6.10,0.55,+9.91%
NIO,NIO Inc.,9.34,0.94,+11.19%
MARA,"Marathon Digital Holdings, Inc.",13.38,1.59,+13.49%
CCL,Carnival Corporation & plc,15.89,1.29,+8.84%
AMD,"Advanced Micro Devices, Inc.",110.39,2.88,+2.68%
PLTR,Palantir Technologies Inc.,14.61,0.67,+4.81%
F,Ford Motor Company,14.41,0.3,+2.13%
WBA,"Walgreens Boots Alliance, Inc.",28.64,-2.95,-9.34%
NVDA,NVIDIA Corporation,418.76,12.44,+3.06%
AAL,American Airlines Group Inc.,17.35,0.91,+5.54%
AAPL,Apple Inc.,188.06,2.79,+1.51%
AMZN,"Amazon.com, Inc.",129.18,1.85,+1.45%
BAC,Bank of America Corporation,28.24,0.15,+0.53%
SOFI,"SoFi Technologies, Inc.",8.64,0.44,+5.37%
SIRI,Sirius XM Holdings Inc.,4.0900,0.18,+4.60%
U,Unity Software Inc.,42.38,5.65,+15.38%
GOOGL,Alphabet Inc.,118.33,-0.01,-0.01%
OPEN,Opendoor Technologies Inc.,3.4000,0.455,+15.45%
T,AT&T Inc.,15.84,0.21,+1.34%
BBD,Banco Bradesco S.A.,3.4200,0.0006,+0.02%
PFE,Pfizer Inc.,36.42,-0.47,-1.27%
RIVN,"Rivian Automotive, Inc.",13.94,0.49,+3.64%
WBD,"Warner Bros. Discovery, Inc.",12.27,0.49,+4.16%
ENVX,Enovix Corporation,16.43,3.31,+25.23%
